loop,iteration,qd_score,std_qd_score,max_fitness,std_max_fitness,coverage,std_coverage
1,1,0.0,0.0,-0.12,0.0,0.0,0.0
2,11,1672.0652,36.919232039109346,-0.058098093,0.017232915792753666,20.95,0.39601010088127836
3,21,2343.2908,54.51465106635457,-0.056032494,0.01402595105716919,28.419998,0.6132993161601935
4,31,2881.9893,34.29726135900636,-0.043484773,0.00890035658796933,34.14,0.30630630943655157
5,41,3277.5776,59.7618498779414,-0.041394558,0.007744857307113137,38.1,0.5703110505692852
6,51,3559.5632,58.36768686364053,-0.034768526,0.007073675589189269,40.95,0.5513478597047051
7,61,3838.6233,48.00174757783721,-0.025746897,0.005333140075693719,43.55,0.4556482529335982
8,71,4022.02,41.17130567050811,-0.023436386,0.0053448853234321116,45.23,0.37698806347151026
9,81,4137.0674,34.44980480655298,-0.022608902,0.006107286265243783,46.12,0.31275516558714056
10,91,4264.5176,36.863274080016375,-0.02027389,0.006427256256999828,47.239998,0.3397061436032024
11,101,4344.1445,29.577009432057284,-0.015392629,0.005591718047852427,47.98,0.3555506399946982
12,111,4409.175,31.448486033728297,-0.016001612,0.0059600392715111585,48.38,0.2757527443211395
13,121,4459.5117,27.236515960555458,-0.012986454,0.006640214648945917,48.68,0.23888003014366838
14,131,4491.522,27.113013935776067,-0.013125989,0.006917265343373745,48.85,0.30285216856017105
15,141,4537.855,34.46710206712481,-0.012057345,0.008016569016007053,49.17,0.33719962515020674
16,151,4553.413,21.436507651704748,-0.01263646,0.006888817517669171,49.269997,0.19493705651271062
17,161,4606.4824,9.778832075130317,-0.00019815576,0.006865075837039647,49.71,0.14268739258112653
18,171,4598.1284,14.621297306928819,0.00040693174,0.006942510707369868,49.489998,0.15892219480487996
19,181,4636.174,25.821645956027066,-0.0003788084,0.006764364756530387,49.859997,0.2471114744463323
20,191,4649.773,18.017803707932806,-6.601286e-05,0.006789760961779962,49.859997,0.19089333147640342
21,201,4659.0596,32.91409393047311,0.000662436,0.006738924145863787,49.87,0.34021362230786656
22,211,4651.1636,26.114606064928658,0.0005704303,0.0072973229253932344,49.789997,0.26837278998095154
23,221,4650.783,34.92264655867891,0.0011471909,0.005540530079887101,49.609997,0.3814711889579087
24,231,4658.4883,43.789774552039,0.00036586786,0.005488240561534453,49.629997,0.45872049442073
25,241,4649.017,26.528424997620952,0.00047601672,0.005372828430937294,49.53,0.26959298210925264
26,251,4662.219,55.524044596480756,0.0011768967,0.005150185605501222,49.579998,0.5750350465853719
27,261,4633.907,40.65127907903513,0.0014622393,0.005021359000494312,49.329998,0.4301809721512102
28,271,4618.664,39.862152697845914,0.0008925782,0.0047979313628259725,49.039997,0.41735457443646007
29,281,4663.477,60.62557724850473,0.0010636201,0.00558738262832984,49.499996,0.6274580719085541
30,291,4617.299,52.84393895937739,0.0012003572,0.005028606376787835,49.01,0.549012053787311
31,301,4643.0015,60.409105688973824,0.0015334738,0.005068838399687996,49.21,0.6272659034273753
32,311,4605.885,65.47346338673094,0.00092933455,0.004328069030612234,48.789997,0.6813630010516875
