loop,iteration,std_fitness,std_std_fitness,std_bd,std_std_bd
1,1,0.0,0.0,8.802861e-06,3.316838782156288e-07
2,11,0.0,0.0,4.8577785e-05,1.8225732028006339e-06
3,21,0.0,0.0,8.098036e-05,4.070067392187012e-06
4,31,0.0,0.0,0.0001090914,5.874020217435414e-06
5,41,0.0,0.0,0.00013630837,7.55853922139827e-06
6,51,0.0,0.0,0.00015795976,8.641001115122257e-06
7,61,0.0,0.0,0.00017686933,1.0494004919332943e-05
8,71,0.0,0.0,0.00019466132,1.1734915799373083e-05
9,81,0.0,0.0,0.00021337718,1.2062012481722274e-05
10,91,0.0,0.0,0.00023144484,1.2238770673637116e-05
11,101,0.0,0.0,0.00024686195,1.3246304985836006e-05
12,111,0.0,0.0,0.00026203878,1.3382897652906708e-05
13,121,0.0,0.0,0.00027479045,1.4260204198205017e-05
14,131,0.0,0.0,0.00028617308,1.484822745926745e-05
15,141,0.0,0.0,0.00029760413,1.4586050374770548e-05
16,151,0.0,0.0,0.00030897,1.542760780346713e-05
17,161,0.0,0.0,0.00032013468,1.6470944830359435e-05
18,171,0.0,0.0,0.00033197738,1.577077839006382e-05
19,181,0.0,0.0,0.00034334324,1.5836903573003896e-05
20,191,0.0,0.0,0.0003532078,1.6437101629282445e-05
21,201,0.0,0.0,0.00036333315,1.7804121663443664e-05
22,211,0.0,0.0,0.00036999397,1.621491503438362e-05
23,221,0.0,0.0,0.000377208,1.5700748836331328e-05
24,231,0.0,0.0,0.0003863182,1.5152771566672024e-05
25,241,0.0,0.0,0.00039462745,1.5162151197347424e-05
26,251,0.0,0.0,0.00040382892,1.5958532740872628e-05
27,261,0.0,0.0,0.00041155517,1.5872281993481097e-05
28,271,0.0,0.0,0.00041877478,1.591506360044899e-05
29,281,0.0,0.0,0.00042504072,1.57900652812178e-05
30,291,0.0,0.0,0.0004316233,1.4848060191175956e-05
31,301,0.0,0.0,0.00043897703,1.3777633902084341e-05
32,311,0.0,0.0,0.00044491142,1.3276077021761219e-05
33,321,0.0,0.0,0.0004490167,1.2139426311660039e-05
34,331,0.0,0.0,0.00045428425,1.1992809864288524e-05
35,341,0.0,0.0,0.00045845658,1.2004966096405268e-05
36,351,0.0,0.0,0.00046489388,1.17458976118088e-05
37,361,0.0,0.0,0.00046967994,1.1241160096875059e-05
38,371,0.0,0.0,0.0004745284,1.1092395862733364e-05
39,381,0.0,0.0,0.0004782481,1.0943323503224436e-05
40,391,0.0,0.0,0.00048245396,1.1742493827347906e-05
41,401,0.0,0.0,0.0004863497,1.1664350004204109e-05
42,411,0.0,0.0,0.00049063005,1.068644739813453e-05
43,421,0.0,0.0,0.0004952792,1.1557248906569438e-05
44,431,0.0,0.0,0.00049727224,1.046173408034444e-05
45,441,0.0,0.0,0.0005013924,1.0182083267504728e-05
46,451,0.0,0.0,0.00050407276,1.005665427743922e-05
47,461,0.0,0.0,0.0005092025,9.166648584461823e-06
