loop,iteration,qd_score,std_qd_score,max_fitness,std_max_fitness,coverage,std_coverage
1,1,0.0,0.0,-0.12,0.0,0.0,0.0
2,11,2238.398,44.56283208650902,-0.06271806,0.01209172482607724,28.33,0.5764235650978876
3,21,3272.2515,46.70647552867158,-0.046074614,0.011428537693825128,39.879997,0.6213857803346966
4,31,4083.8813,55.8863357427056,-0.0321512,0.006960366958745799,48.57,0.6925489152399267
5,41,4722.201,64.6872759381441,-0.0321512,0.007332703440741336,55.149998,0.7498897092250323
6,51,5237.3574,51.113472605550996,-0.024994714,0.006071349687412631,60.23,0.5813223842253439
7,61,5621.49,45.42401462008383,-0.024994714,0.004896595965562427,63.989998,0.4831313543961319
8,71,5905.9688,35.8207992557621,-0.024138834,0.0034860477634512123,66.549995,0.3393289436579184
9,81,6136.5615,39.50509296030575,-0.024138834,0.0034860477634512123,68.58,0.36903177966479117
10,91,6323.614,33.32512677308834,-0.016408762,0.00487916069406483,70.11,0.29223278392405044
11,101,6500.0645,39.21101072701896,-0.014945238,0.006391921196338056,71.65,0.37466785290440857
12,111,6626.6904,32.08770614440361,-0.014945238,0.006860686314599362,72.65,0.3132400038373152
13,121,6715.4966,29.102173413654242,-0.014945238,0.006860686314599362,73.29,0.2581172834275116
14,131,6811.4497,25.065500960675106,-0.014945238,0.006860686314599362,74.03,0.21207545826898183
15,141,6888.913,25.74411968022233,-0.014945238,0.006860686314599362,74.49,0.23163764806266138
16,151,6946.9775,25.08607630288956,-0.014945238,0.00675751915711814,74.95,0.23208614263363433
17,161,6994.901,23.296389415581054,-0.014945238,0.00675751915711814,75.259995,0.2221184639015887
18,171,7043.01,22.018821783047493,-0.014945238,0.00830233394701054,75.57,0.2159073875530922
19,181,7078.396,20.233632646264887,-0.014153851,0.008105166454401612,75.83,0.19835322029148003
20,191,7113.8677,19.0838712589032,-0.014153851,0.007348357908663415,76.06,0.1829321404346418
21,201,7147.8413,18.077500747791504,-0.013541182,0.007162479077619692,76.32,0.18148181177737796
22,211,7175.1353,16.7662146918617,-0.013405737,0.00705441293957153,76.49,0.17080988262978372
23,221,7199.268,16.636861744259367,-0.013405737,0.00705441293957153,76.65,0.17141761869772848
24,231,7221.351,13.433773547354447,-0.0123325195,0.006831461488225051,76.799995,0.1374920797864375
25,241,7239.793,12.790617486016972,-0.0123325195,0.006461312274035813,76.92,0.13317657451669285
26,251,7261.061,12.149513780954347,-0.0123325195,0.006461312274035813,77.07,0.12846848019089963
27,261,7276.6357,13.07752132333942,-0.0123325195,0.006257478985991039,77.17,0.14122322755127914
28,271,7290.4893,13.034109909249606,-0.00995795,0.005968121847495422,77.25,0.13890923656834564
29,281,7303.807,12.569746077085135,-0.00995795,0.005968121847495422,77.33,0.13044601950231904
30,291,7315.3823,13.273228905040503,-0.00995795,0.005968121847495422,77.4,0.13865064009949607
31,301,7324.985,13.7741600493678,-0.0065567,0.005240483712454796,77.45,0.1460962203568578
32,311,7334.0527,14.671311920151979,-0.0065567,0.004117539740886419,77.5,0.15689486925964222
33,321,7346.148,14.371418114354485,-0.0065567,0.004117539740886419,77.59,0.1517091427831541
34,331,7354.448,13.525975571972692,-0.0065567,0.004117539740886419,77.64,0.1440282194710462
35,341,7364.3374,12.611174026299016,-0.0065567,0.004117539740886419,77.71,0.13496568454240634
36,351,7373.007,12.160006950919154,-0.0065567,0.004117539740886419,77.77,0.12992213054349275
37,361,7380.4023,12.777024898872192,-0.0065567,0.004117539740886419,77.82,0.13632314550361518
38,371,7390.636,12.645295252796405,-0.0065567,0.004058316243544113,77.9,0.13585141885898544
39,381,7397.502,12.989882538898936,-0.0065567,0.004058316243544113,77.939995,0.14207163828491529
40,391,7402.151,12.681348954902239,-0.0065567,0.004058316243544113,77.96,0.13879481258317716
41,401,7408.236,13.073567026638212,-0.0065567,0.004058316243544113,78.0,0.14483093592185203
42,411,7413.034,14.913088923492841,-0.0065567,0.004014125153300923,78.02,0.16557649592862023
43,421,7419.1885,13.404174090722755,-0.0065567,0.004014125153300923,78.07,0.14939991968725855
44,431,7423.1655,12.982665443367038,-0.0065567,0.004014125153300923,78.09,0.14471942510941485
45,441,7429.868,11.041312236939872,-0.0065567,0.004014125153300923,78.14,0.12247448713915937
46,451,7434.6924,11.026652028136004,-0.0065567,0.004014125153300923,78.17,0.12338593762077996
47,461,7439.1714,11.450004064278767,-0.0065567,0.004014125153300923,78.2,0.1279057465714531
48,471,7444.824,10.991494056769458,-0.0065567,0.004014125153300923,78.24,0.12419339757008285
49,481,7449.2837,10.095496067138116,-0.0065567,0.003909397852445771,78.27,0.11600000000000295
50,491,7454.702,9.243441502730414,-0.0065567,0.003909397852445771,78.31,0.10632158013573463
51,501,941.64185,40.43741166118396,-0.042073242,0.011745699735087723,10.32,0.43683388971099774
52,511,1629.7694,175.27521248775136,-0.025307927,0.007294454135319062,17.949999,1.994887270399067
53,521,2260.7805,286.24846732026776,-0.015596699,0.016195146125828314,25.01,3.230126932490425
54,531,2827.8655,248.62240020618106,0.0036038943,0.009248055232250939,31.33,2.789332656245964
55,541,3310.1836,165.05283263451125,0.01659213,0.010532696026691268,36.68,1.8419272515493128
56,551,3666.478,108.86087275146386,0.01659213,0.014686034275727369,40.579998,1.2181398152925453
57,561,3913.0527,83.42215013454413,0.01659213,0.014684945755944031,43.07,0.9649457228262301
58,571,4064.111,67.53486778997639,0.01659213,0.013863178392840273,44.87,0.8149202522950574
59,581,4219.3086,74.47713638703901,0.017703902,0.01376370629816612,46.469997,0.9043892900745792
60,591,4312.815,95.92427832226858,0.017703902,0.01268059669362447,47.39,1.142768984528649
61,601,4436.4014,109.22373244082061,0.017703902,0.01268059669362447,48.67,1.2798367005214373
62,611,4564.196,119.75958654464357,0.017703902,0.012619552904456125,50.03,1.3884295643647748
63,621,4672.7056,129.19452683573886,0.022364084,0.011880502638305104,51.199997,1.4830697763765008
64,631,4761.3433,135.1885319909495,0.022364084,0.011880502638305104,52.129997,1.5439170690168036
65,641,4843.193,138.02513737829668,0.023242917,0.011833389726794116,53.21,1.5607253208689353
66,651,4922.514,137.52505318539437,0.023242917,0.011833389726794116,53.969997,1.551249653151112
67,661,4987.3843,145.76408396861558,0.023242917,0.011833389726794116,54.69,1.635733295620335
68,671,5060.8374,150.98601520446059,0.023242917,0.011833389726794116,55.5,1.6832753785403025
69,681,5111.647,151.2423192904024,0.023242917,0.011833389726794116,56.079998,1.6767590500727767
70,691,5171.4805,152.7436143659618,0.023242917,0.011833389726794116,56.559998,1.6897150538481214
71,701,5217.0986,152.96857653016968,0.023242917,0.011833389726794116,57.039997,1.690507393181538
72,711,5262.8857,156.35335656303113,0.023242917,0.011864925589172931,57.59,1.7202441687155925
73,721,5315.8496,157.93259645832455,0.023242917,0.011402256554821372,57.98,1.735125679828825
74,731,5359.4067,154.5986089076224,0.023242917,0.011402256554821372,58.43,1.6901843544421302
75,741,5382.3164,152.0249975302221,0.023242917,0.011402256554821372,58.71,1.6572431524679296
76,751,880.076,44.95915853230857,-0.05223293,0.009029684880907204,9.75,0.5465894254374118
77,761,1164.9966,28.218083757973357,-0.039791506,0.007486239390866046,12.889999,0.3458666864562703
78,771,1334.8395,31.651230161710902,-0.039446205,0.006115687530258426,14.7,0.38243389180385134
79,781,1459.0703,40.72606850907164,-0.0367104,0.006769136602929929,16.16,0.48708919593864936
80,791,1557.432,51.91090215578997,-0.03227844,0.009494968113045949,17.23,0.6108812218428071
81,801,1630.4302,65.89474279764659,-0.03092733,0.009471593570245327,18.07,0.7627426465067754
82,811,1702.9786,70.76389965176878,-0.03081588,0.009503516984116344,18.859999,0.8193509216447848
83,821,1759.6511,84.01345460452393,-0.02635225,0.009828265704182963,19.47,0.9735830729835018
84,831,1801.635,90.29816457719174,-0.024033112,0.011216497341101585,19.92,1.0389801287802185
85,841,1850.5507,99.27889263032704,-0.023468744,0.011387893076951075,20.449999,1.1372774683427793
86,851,1901.5596,107.94412914476821,-0.02161552,0.011872295782314836,21.0,1.2376010969614406
87,861,1950.4767,113.17093634946028,-0.02161552,0.011872295782314836,21.529999,1.2951507343935538
88,871,1981.7524,121.21272368073582,-0.020779543,0.01281185912792521,21.869999,1.377917275891467
89,881,2017.1406,126.64587934306269,-0.020779543,0.01281185912792521,22.25,1.4382572787926373
90,891,2042.8555,131.4449656110815,-0.020779543,0.01317889633697908,22.519999,1.4882826744944118
91,901,2069.7617,135.51050193520203,-0.020779543,0.012971738877569904,22.81,1.5321098642069237
92,911,2103.1775,138.43386644792668,-0.020779543,0.01363440325301026,23.17,1.564639679159467
93,921,2126.3699,139.90611479287668,-0.020779543,0.013770601459605123,23.42,1.5800073017553307
94,931,2153.27,141.95774202285128,-0.020779543,0.01460306724214145,23.71,1.601641209010382
95,941,2178.9656,144.78857625082713,-0.020779543,0.013307398366293683,23.99,1.6352732334384494
96,951,2199.1675,149.65956459429643,-0.020779543,0.014053251611728289,24.199999,1.6861247645415323
97,961,2233.6394,155.11722650190205,-0.016868785,0.014141547903658033,24.58,1.7457324768705655
98,971,2255.445,159.45116258233307,-0.016028747,0.014182970822243054,24.82,1.7936782186334985
99,981,2272.8364,160.12888983504007,-0.016028747,0.014253219081314404,25.01,1.7995821737281126
100,991,2282.5974,162.112192588977,-0.014228515,0.012613893254967855,25.109999,1.8192462531499798
101,1001,644.28455,76.71796142602028,-0.04897969,0.0077886917553374934,7.37,0.8258959279231383
102,1011,1084.342,73.38460900257338,-0.045556292,0.008632903309975218,12.19,0.8123300437631489
103,1021,1275.7822,68.11259959066018,-0.045101322,0.009781021104632442,14.28,0.7701012281513645
104,1031,1373.8984,61.97534554518919,-0.041573763,0.009735474453357323,15.36,0.7053963561007665
105,1041,1449.9299,66.85280782689682,-0.040902883,0.01052652306101825,16.199999,0.7674009934840061
106,1051,1495.0911,68.57581700117319,-0.040902883,0.01052652306101825,16.699999,0.7856969543024579
107,1061,1533.0559,69.28893426038533,-0.040902883,0.01052652306101825,17.109999,0.7874670207699118
108,1071,1573.4197,77.19395008499049,-0.03904037,0.010470178195140208,17.55,0.8698829121210274
109,1081,1625.808,82.57625754911878,-0.03496611,0.011299798770572633,18.13,0.9293306735496033
110,1091,1660.836,92.87282891703045,-0.03496611,0.011779592998711381,18.51,1.0440613008822808
111,1101,1691.6517,98.28057828053315,-0.03496611,0.011779592998711381,18.85,1.1005818170404962
112,1111,1709.2424,102.90960222584869,-0.03496611,0.011779592998711381,19.039999,1.1498278956435872
113,1121,1735.4718,109.54863174558412,-0.03496611,0.011734740160778162,19.32,1.2226789779824627
114,1131,1759.1716,114.96620833198598,-0.03496611,0.011734740160778162,19.58,1.2826003078122825
115,1141,1782.1316,116.03317949625274,-0.03496611,0.011734740160778162,19.83,1.2932037324413501
116,1151,1799.5004,118.83446432255249,-0.03496611,0.008239716728691792,20.02,1.319690572217654
117,1161,1818.7167,123.73952306918592,-0.03496611,0.008239716728691792,20.23,1.3743856809498565
118,1171,1837.6685,128.37756697748088,-0.03496611,0.00865953313300595,20.439999,1.4212586917236993
119,1181,1851.4622,135.05441496807126,-0.031009369,0.008667371848253093,20.59,1.493031814798332
120,1191,1865.1052,138.60678384320738,-0.031009369,0.008667371848253093,20.74,1.5292611078557388
121,1201,1883.5349,145.43612546391628,-0.031009369,0.008667371848253093,20.939999,1.603129660133653
122,1211,1904.5403,150.0081497705428,-0.031009369,0.0080312246459417,21.17,1.6545402319678535
123,1221,1917.1792,151.1798864681145,-0.031009369,0.0080312246459417,21.31,1.6626318863777874
124,1231,1930.875,154.74761690810752,-0.031009369,0.0080312246459417,21.46,1.6982507284850956
125,1241,1945.4839,161.30869921140152,-0.031009369,0.0080312246459417,21.619999,1.769761531506502
126,1251,792.1474,54.47951721583098,-0.06906368,0.006287633107626607,9.19,0.6263226229349855
127,1261,1102.5325,77.55251576885786,-0.061268494,0.008415486526019885,12.639999,0.8648838012127175
