loop,iteration,Loss_qd_score,Loss_max_fitness,Loss_coverage
48,471,0.4942139104810435,0.9405890073891475,0.48982006828525704
49,481,0.4934534901983374,0.9478502485167865,0.48896303913874445
50,491,0.4906714375778935,0.9492520011993348,0.48628001721726033
51,501,-0.035237961732760725,0.9736281734793604,-0.011054443732213686
52,511,0.5061554152297185,0.9914009872040918,0.4918032573267448
53,521,0.5360324989479814,0.9896559915228426,0.5165847972972973
54,531,0.5487106650475856,0.993745072398088,0.5249796720137966
55,541,0.5633666897009074,0.9906289657243001,0.5377930679062247
56,551,0.5781158025862868,0.992835139130947,0.5525045463689399
57,561,0.5855013402582188,0.9925533148185448,0.5582446209024676
58,571,0.5913709531975668,0.9942009573709687,0.5630075187969924
59,581,0.6042765542235852,0.9954242984710039,0.5760336370007008
60,591,0.6100005296709187,0.994284908313396,0.5813069148403882
61,601,0.6183706560336167,0.9959668697504838,0.588735494197679
62,611,0.6264660634566797,0.9950362253333349,0.596478943683105
63,621,0.6258416793201428,0.9961641748862249,0.5944594459445944
64,631,0.635503146428801,0.9966206281673824,0.6038604160416041
65,641,0.6426424240551791,0.9962630912518127,0.6102000000000001
66,651,0.6481389661601792,0.9966020873467306,0.6148
67,661,0.6529255548501496,0.9964759177580189,0.619
68,671,0.6597198970297111,0.9969082852624405,0.6259
69,681,0.660262088976637,0.9962262962455798,0.62530003
70,691,0.6666775262252717,0.997192209926251,0.6318
71,701,0.6725632413154463,0.996902870368346,0.637
72,711,0.673685414655745,0.9969792189520333,0.63780003
73,721,0.6815045627097358,0.9967817627489991,0.6459
74,731,0.6841175277519793,0.9967190570548662,0.6484000000000001
75,741,0.6866475988124005,0.9966503584268573,0.6505
76,751,-0.08728383619679755,0.9909026452263107,-0.10698263933376045
77,761,0.5059370389555452,0.9934277377375298,0.4781022419186653
78,771,0.5259663232141473,0.9950427894409519,0.48534970903522207
79,781,0.5281022347025275,0.995140474037697,0.4946258514817406
80,791,0.5290279573861136,0.9964683861459812,0.49475277497477294
81,801,0.5383550732242391,0.9945532127319968,0.5039750480011598
82,811,0.5374591392551047,0.9964513552392306,0.5017586122881424
83,821,0.5371845156683183,0.9961202756254819,0.5011050833835644
84,831,0.5401127511253586,0.995263034431918,0.5034642333567627
85,841,0.5383653607120295,0.9953100336680015,0.5005518210093308
86,851,0.5439324372026347,0.9961879297814223,0.5059165964701163
87,861,0.5451369552602225,0.99717192932449,0.5056641804511278
88,871,0.5433410160334339,0.9965326386272009,0.504659825633831
89,881,0.5447165453091688,0.9957408842856804,0.5059106792226006
90,891,0.5473957512227433,0.9973815881479172,0.5084134815705128
91,901,0.5488454735036007,0.996786416519689,0.5075613420130195
92,911,0.550886998989699,0.9973403662148215,0.51091532145003
93,921,0.5518220589696711,0.9968866236445323,0.50921108329996
94,931,0.552340589437771,0.9982893711699701,0.5087104925911092
95,941,0.5552505848548971,0.9980308189812074,0.5120608352341441
96,951,0.5559360242762393,0.997419119418981,0.5125100080064051
97,961,0.5569634555283166,0.9969203469003415,0.5131078403596078
98,971,0.5579155687375809,0.997645065722456,0.513505432172869
99,981,0.5582108729443771,0.9973039418800274,0.5149545063519055
100,991,0.5601015023552556,0.9978063392781056,0.5151545463639092
101,1001,-0.14486388676860523,0.9843699308187217,-0.14191579863100967
102,1011,0.4696170049678988,0.9935865165670065,0.44922289353745465
103,1021,0.48267711611051695,0.9927298550344288,0.46262513904338154
104,1031,0.49147211540367447,0.9945193690830169,0.4702051666123955
