loop,iteration,std_fitness,std_std_fitness,std_bd,std_std_bd
1,1,0.0,0.0,1.2002885e-05,8.083711942240393e-07
2,11,0.0,0.0,2.092123e-05,1.2540672372754816e-06
3,21,0.0,0.0,2.8789043e-05,1.6256314133983273e-06
4,31,0.0,0.0,3.5241246e-05,2.314723880514684e-06
5,41,0.0,0.0,4.0508807e-05,2.800886090525969e-06
6,51,0.0,0.0,4.643947e-05,3.170547878282075e-06
7,61,0.0,0.0,5.2444637e-05,3.823328383762116e-06
8,71,0.0,0.0,5.648285e-05,4.161169377200672e-06
9,81,0.0,0.0,6.0603023e-05,4.233539593937133e-06
10,91,0.0,0.0,6.555766e-05,4.227161290714307e-06
11,101,0.0,0.0,6.9484115e-05,4.2601427432840786e-06
12,111,0.0,0.0,7.285178e-05,4.332476821105193e-06
13,121,0.0,0.0,7.703155e-05,4.036744262248795e-06
14,131,0.0,0.0,8.0153346e-05,4.163900010923494e-06
15,141,0.0,0.0,8.3729625e-05,4.065651108478318e-06
16,151,0.0,0.0,8.665025e-05,3.959457173490326e-06
17,161,0.0,0.0,8.953363e-05,3.964449144591972e-06
18,171,0.0,0.0,9.268522e-05,4.247758079891559e-06
19,181,0.0,0.0,9.4771385e-05,4.449764489506834e-06
20,191,0.0,0.0,9.787828e-05,4.180253612050829e-06
21,201,0.0,0.0,0.000100038946,3.6154098116535764e-06
22,211,0.0,0.0,0.00010319054,3.5200616682529874e-06
23,221,0.0,0.0,0.00010602176,3.173286565202711e-06
24,231,0.0,0.0,0.000108234584,2.8763334011478177e-06
25,241,0.0,0.0,0.00011011213,3.2126799170248156e-06
26,251,0.0,0.0,0.00011194497,3.1409452180768786e-06
27,261,0.0,0.0,0.00011474639,3.32518033538333e-06
28,271,0.0,0.0,0.00011680275,3.281125526297924e-06
29,281,0.0,0.0,0.00011832267,3.4537365529032684e-06
30,291,0.0,0.0,0.0001199916,3.3428780156809465e-06
31,301,0.0,0.0,0.000121064484,3.1270120380256678e-06
32,311,0.0,0.0,0.00012286752,3.047024391944377e-06
33,321,0.0,0.0,0.0001244396,2.81051373792354e-06
34,331,0.0,0.0,0.00012621284,2.7706896753812084e-06
35,341,0.0,0.0,0.00012770295,2.508553400943262e-06
36,351,0.0,0.0,0.00012867153,2.290201160457304e-06
37,361,0.0,0.0,0.0001295209,2.3575526326171416e-06
38,371,0.0,0.0,0.00013072044,2.008601280328174e-06
39,381,0.0,0.0,0.00013127178,1.7349443225371777e-06
40,391,0.0,0.0,0.00013263524,2.1039667724619623e-06
41,401,0.0,0.0,0.0001335442,2.168904727630054e-06
42,411,0.0,0.0,0.0001341626,2.004030834926447e-06
43,421,0.0,0.0,0.00013497472,1.9868732911426448e-06
44,431,0.0,0.0,0.00013627857,2.2640550815295985e-06
45,441,0.0,0.0,0.00013687462,2.0368225497023535e-06
46,451,0.0,0.0,0.0001379326,1.6625279362633286e-06
47,461,0.0,0.0,0.00013932586,1.4986236591139212e-06
