loop,iteration,std_fitness,std_std_fitness,std_bd,std_std_bd
75,741,66.39867,0.6975503516162844,330.3821,4.450476851216733
76,751,66.52396,0.7030689366513053,331.60498,4.352593158978216
77,761,66.56488,0.7613821202418706,332.47183,4.596434061971963
78,771,66.73811,0.7531721487946814,333.53683,4.665416849236084
79,781,66.87625,0.750198588044525,334.07254,4.629746364730575
80,791,67.05173,0.7169135463444399,334.58868,4.391752980703713
81,801,67.26621,0.7203521225789498,335.4395,4.398595734902674
82,811,67.4117,0.707427778073492,336.37286,4.450160498635514
83,821,67.53776,0.6955359382146665,337.61288,4.377284194194386
84,831,67.69292,0.6978372102833164,338.3531,4.391857299873935
85,841,67.73752,0.7025813782736904,338.4028,4.352986538965638
86,851,67.81462,0.6903092612406121,338.78018,4.265456043564857
87,861,67.95038,0.6830972596929381,339.4341,4.294904599245006
88,871,68.06208,0.6882389027198041,339.8753,4.219655487551553
89,881,68.186516,0.6872943988590603,340.21478,4.1822259643065545
90,891,68.30313,0.6811106476513225,340.98764,4.162468550369598
91,901,68.35605,0.6701584176476506,341.59494,4.121188672382769
92,911,68.48832,0.6446521616423554,342.2445,4.0334503598730524
93,921,68.63872,0.653285237506558,342.76758,3.922027043835375
94,931,68.642746,0.6717399934743806,342.9287,3.957470207897959
95,941,68.73753,0.6485984325728827,343.58856,4.024863837855889
96,951,68.83496,0.6362115571757535,343.6594,3.9842437462313947
97,961,68.908264,0.567924097067348,344.49347,3.9082555873606912
98,971,68.93379,0.5803462898097973,344.79593,3.9678587943403385
99,981,69.097046,0.6344911843320146,345.85263,3.9126623861631655
100,991,69.076996,0.5951363409863006,346.68512,3.8368185553054417
101,1001,69.23137,0.5914262769136994,347.14624,3.6507251132858496
102,1011,-4751.365,939.2249814708583,-2665.9133,585.3293162898691
103,1021,-7102.24,1312.8481998697268,-4097.816,813.9863847252769
104,1031,-8587.375,1581.500749767081,-5047.6294,966.2600917035081
105,1041,-9815.435,1764.3290114960532,-5795.257,1081.9672407125267
106,1051,-10705.142,1857.5268039898467,-6329.389,1136.9259482482314
107,1061,-11470.451,1905.751942212572,-6714.21,1167.6219647837913
108,1071,-12089.654,1965.2966914462174,-7072.122,1202.4932449094256
109,1081,-12733.729,2024.5784774414053,-7435.9854,1234.1564783427723
110,1091,-13340.699,2055.540763896314,-7703.8843,1247.8848773161915
111,1101,-13844.631,2047.3692190092725,-7959.119,1245.646339507422
112,1111,-14230.959,2061.8012973928794,-8153.881,1253.4053501585406
113,1121,-14528.49,2087.0110949107097,-8331.686,1263.3531458924065
114,1131,-14834.543,2098.952180304125,-8511.414,1268.3330759279281
115,1141,-15114.098,2097.1604640669157,-8680.362,1260.716720143753
116,1151,-15366.852,2115.559634295437,-8833.51,1270.7728517438516
117,1161,-15580.594,2133.495569921775,-8956.686,1279.3722497962667
118,1171,-15826.16,2179.6587467614836,-9111.757,1306.2194093880246
119,1181,-16066.682,2199.3208196512846,-9250.701,1314.7133788036692
120,1191,-16320.221,2221.441154896703,-9414.306,1326.4249245097267
121,1201,-16497.734,2217.6207069558673,-9514.432,1320.2102492502322
122,1211,-16636.736,2205.5992007598666,-9599.572,1308.8523432105853
123,1221,-16798.598,2216.9300048935606,-9693.444,1316.7071684083194
124,1231,-17029.068,2224.4277545135415,-9836.478,1320.524055456257
125,1241,-17198.32,2252.747970278469,-9929.279,1339.1621374022488
126,1251,-17353.195,2230.139149726097,-10017.869,1323.2345774968853
127,1261,-17523.766,2246.4613844175824,-10121.451,1330.6892253278374
128,1271,-17657.715,2245.692266885826,-10202.235,1330.7879889506523
129,1281,-17827.555,2259.279374452571,-10298.599,1337.2555853807041
130,1291,-17982.688,2274.8913671889127,-10389.861,1345.8297006361684
131,1301,-18128.701,2275.946403520734,-10476.583,1345.0290334241267
132,1311,-18258.797,2284.657264833042,-10557.379,1349.4177911284557
133,1321,-18423.723,2288.6211460922145,-10645.369,1346.7647166191186
134,1331,-18545.242,2274.8062023182015,-10720.29,1337.1744093499522
135,1341,-18684.777,2284.2686151636894,-10794.344,1340.9561586796754
136,1351,-18813.709,2285.212431276585,-10864.127,1340.4107151272108
137,1361,-18938.256,2293.6130021325393,-10935.848,1343.9049131410154
138,1371,-19069.902,2293.7398654020553,-11015.439,1341.1299730911098
139,1381,-19250.328,2306.46952444888,-11112.617,1343.6491013978914
140,1391,-19359.705,2313.55240783652,-11174.766,1345.3922986988741
141,1401,-19454.145,2306.6644050135596,-11231.888,1338.3158178589388
142,1411,-19570.719,2316.5432504176906,-11301.539,1340.384381082591
143,1421,-19719.66,2329.8533087842593,-11388.039,1345.3446017650056
144,1431,-19816.768,2328.3078439620135,-11443.377,1342.188699322715
145,1441,-19899.625,2330.587681087068,-11489.903,1343.0436839726995
146,1451,-19988.324,2316.226021526794,-11533.348,1331.7658679571869
147,1461,-20077.992,2305.9342874244617,-11585.296,1323.9784749708588
148,1471,-20187.2,2305.8934142406497,-11644.305,1319.3572772397326
149,1481,-20275.662,2313.9632169464235,-11686.641,1325.5767313296353
150,1491,-20364.492,2321.9459695950372,-11732.862,1327.3765915560512
151,1501,-20453.184,2316.407332379347,-11784.174,1325.6739807540014
152,1511,-21675.418,2074.3031402071,-12442.232,1156.6688168127296
153,1521,-22328.316,1980.2317115922976,-13136.066,1086.173478222443
154,1531,-22826.516,1941.8221747184377,-13685.738,1048.1000810308908
155,1541,-23324.896,1939.969802620279,-14070.721,1035.9284707182055
156,1551,-23843.984,1907.1218346761593,-14372.414,1004.7696413453186
157,1561,-24367.584,1947.4196032340437,-14727.695,1026.1676840488396
158,1571,-24665.86,1940.2912214878872,-14972.452,1024.4785829879702
159,1581,-24897.117,1947.4612492147198,-15151.729,1026.2722140692304
160,1591,-25123.668,1963.3746269487542,-15327.26,1034.4503451919575
161,1601,-25358.176,1989.241668280293,-15464.008,1047.8379944657472
162,1611,-25563.188,1999.166926749179,-15615.778,1054.809564413672
163,1621,-25717.305,1997.145939172138,-15721.736,1055.1618762791613
164,1631,-25864.11,2002.4085930234114,-15845.8955,1058.3676315045545
165,1641,-26016.93,2023.7447466938515,-15952.584,1071.8035489575502
166,1651,-26179.326,2034.109239528064,-16058.329,1079.4638694354528
167,1661,-26316.785,2049.065854807112,-16167.494,1086.164398417956
168,1671,-26423.234,2049.9392817234757,-16259.592,1090.8332534460799
169,1681,-26564.738,2059.506354189723,-16376.087,1102.3321180495466
170,1691,-26672.457,2069.7861232244645,-16475.066,1112.1238093441038
171,1701,-26795.188,2078.7536359342243,-16541.637,1114.3249535787302
172,1711,-26894.4,2076.007944582333,-16601.621,1113.4867357080818
173,1721,-26997.152,2082.385273180119,-16669.234,1119.4791437779274
174,1731,-27096.836,2096.23238528041,-16740.8,1128.1120602380606
175,1741,-27186.023,2098.764475950687,-16796.633,1132.6916275370982
176,1751,-27257.416,2114.3266014772075,-16862.824,1144.947660554071
177,1761,-27332.143,2111.9776602413776,-16926.424,1145.7983716549081
178,1771,-27403.785,2112.5123782820674,-16999.832,1150.3663309472513
179,1781,-27459.781,2111.6348564759965,-17037.867,1152.5065865632876
180,1791,-27543.266,2111.288876746297,-17092.957,1149.5179815087017
181,1801,-27599.445,2113.1464908861763,-17147.316,1150.604708662467
182,1811,-27638.426,2120.9518313379963,-17195.066,1161.7607043033256
183,1821,-27680.693,2127.331744099411,-17233.152,1161.57753654509
184,1831,-27719.059,2129.353435678728,-17271.395,1165.8532737719613
185,1841,-27791.602,2122.8854969514114,-17317.459,1160.7031828168642
186,1851,-27844.309,2126.7036002306104,-17370.371,1163.8217312458125
187,1861,-27901.621,2133.882544571748,-17409.645,1166.787091029653
188,1871,-27965.363,2133.212637100484,-17436.766,1163.7552491511956
189,1881,-28006.678,2131.6597248303583,-17483.945,1160.979586124855
190,1891,-28046.082,2139.24159950487,-17522.188,1167.7995755172367
191,1901,-28080.453,2136.7955147216503,-17550.438,1169.8731820811008
192,1911,-28113.664,2143.2148753499255,-17576.783,1175.2803495485487
193,1921,-28154.0,2140.2632010021016,-17615.053,1176.5871738980327
194,1931,-28219.066,2140.1724522907025,-17656.96,1177.8566574744823
195,1941,-28262.457,2136.2200658841302,-17698.816,1178.6862137105704
196,1951,-28322.059,2146.0924778407293,-17719.42,1179.7051324877075
197,1961,-28364.77,2142.8532722393857,-17740.678,1179.861886882359
198,1971,-28411.33,2139.530767219336,-17765.959,1177.704191007641
199,1981,-28463.883,2143.36321178867,-17790.8,1180.2820881758737
200,1991,-28510.123,2146.0445938925322,-17820.719,1180.8807778968371
201,2001,-28554.602,2150.795716184928,-17846.094,1183.550640685053
202,2011,-28994.809,2090.3259292592625,-18031.66,1140.8845279765346
203,2021,-29224.88,2063.896595273358,-18178.547,1133.5918968885755
204,2031,-29430.973,2039.7249405507591,-18290.402,1121.3235423845524
205,2041,-29625.52,2021.598362286277,-18378.027,1112.0199111104798
206,2051,-29788.324,2000.4519588436417,-18473.625,1106.9235279538684
207,2061,-29912.877,1986.6719682854132,-18550.967,1105.7066156510052
208,2071,-30043.617,1983.7162006601045,-18602.016,1104.4684740008468
209,2081,-30147.94,1975.2008434526958,-18686.805,1106.798593289203
210,2091,-30254.945,1977.7592127673781,-18734.691,1109.4867750729431
211,2101,-30354.332,1968.8663366159733,-18811.383,1111.7027763497583
212,2111,-30408.027,1969.865683404978,-18887.469,1122.4051193666926
213,2121,-30481.475,1982.6326409322928,-18927.508,1130.6645987739066
214,2131,-30539.203,1975.5653866600317,-18970.047,1130.1708627426917
215,2141,-30558.367,1967.886929394939,-19003.459,1132.8568454200029
216,2151,-30589.549,1965.6903495836366,-19033.479,1139.394161641528
217,2161,-30645.215,1964.4670832943373,-19077.975,1142.4003936807799
218,2171,-30685.4,1958.600484109569,-19119.18,1144.7997753693708
219,2181,-30767.139,1965.8985055630305,-19142.414,1150.9862672497188
220,2191,-30795.688,1965.8941420930475,-19177.828,1157.8719092765657
221,2201,-30828.41,1968.0174042654799,-19202.566,1160.8088441542816
222,2211,-30854.164,1969.9345031101318,-19226.914,1165.222360119063
223,2221,-30869.727,1978.4659235348383,-19260.598,1177.161481326773
224,2231,-30892.559,1974.2034815434397,-19280.297,1174.7762312439593
225,2241,-30908.195,1966.2751742756043,-19302.406,1176.2324256117072
226,2251,-30919.775,1955.225374631784,-19327.535,1173.1415596469847
227,2261,-30934.746,1956.0486588743538,-19339.234,1180.9069584510714
228,2271,-30960.955,1955.2447736142299,-19365.836,1185.18208373539
229,2281,-31003.164,1957.5036872985345,-19390.965,1188.505302471874
230,2291,-31035.516,1955.7655950206308,-19408.533,1194.3026402929872
231,2301,-31076.867,1953.4720059637407,-19422.3,1195.6774476914081
232,2311,-31111.06,1960.9623226097544,-19434.816,1203.9640123349857
233,2321,-31123.525,1965.5695532960822,-19454.99,1210.695948815127
234,2331,-31148.68,1963.9417173576203,-19473.922,1212.2004084164628
235,2341,-31164.74,1961.838314149624,-19493.695,1212.9933675720404
236,2351,-31162.043,1959.672648672263,-19520.088,1216.082721743813
237,2361,-31170.238,1960.6990317610087,-19535.816,1222.675170131855
238,2371,-31189.52,1960.3291774901884,-19546.625,1226.005980004111
239,2381,-31193.586,1962.2467128531414,-19571.176,1230.6435500818902
240,2391,-31221.668,1961.7739745515435,-19587.578,1234.5252571478645
241,2401,-31229.71,1964.5028172192576,-19601.72,1242.8823885313368
242,2411,-31224.264,1966.5944711152422,-19606.297,1248.6037293571408
243,2421,-31249.752,1964.6958724837175,-19614.871,1253.2133042641067
244,2431,-31244.49,1956.2336984590158,-19625.07,1251.1060238034822
245,2441,-31270.684,1964.4324765084098,-19627.984,1257.3843821361231
246,2451,-31281.375,1955.448914162638,-19647.89,1255.0160955136162
247,2461,-31315.674,1956.1665842932089,-19660.191,1258.9535587515534
248,2471,-31326.482,1955.5367637762895,-19665.023,1261.8849536677103
249,2481,-31332.27,1945.6061294590331,-19672.852,1255.4937261022699
250,2491,-31342.154,1944.5896251906734,-19682.459,1254.8106522357864
251,2501,-31345.723,1943.539302448541,-19687.02,1255.8574139534148
252,2511,-31484.734,1902.6300487704905,-19726.906,1234.9038463470097
253,2521,-31548.336,1882.0837247326272,-19801.709,1233.2724843829774
254,2531,-31609.537,1841.4250028352496,-19844.426,1217.0022298903154
255,2541,-31670.953,1831.0066479441737,-19886.648,1215.007115442145
256,2551,-31720.512,1814.3403356841948,-19930.688,1212.1305419990047
257,2561,-31773.088,1787.6438799881817,-19965.738,1200.4898761692243
258,2571,-31823.375,1770.8858418314385,-19987.223,1193.052990699408
259,2581,-31877.5,1761.2402089165,-20022.652,1183.3477209494094
260,2591,-31904.357,1736.6011460574362,-20062.395,1171.4719996381643
261,2601,-31916.98,1721.5356190781536,-20097.525,1168.275450445211
262,2611,-31930.498,1705.1270833641224,-20130.717,1161.241215183581
263,2621,-31959.918,1690.0513403289976,-20170.79,1157.118824449174
264,2631,-31982.426,1677.9536557543647,-20195.875,1154.2805322150425
265,2641,-32013.926,1677.0785260446219,-20224.328,1155.885752233429
266,2651,-32035.332,1660.85069070517,-20273.521,1152.028545828028
267,2661,-32062.459,1650.475180580549,-20296.73,1148.9592509926536
268,2671,-32082.775,1637.540398488489,-20310.773,1140.5397173323513
269,2681,-32116.03,1622.8264658225899,-20321.02,1130.8390495644558
270,2691,-32128.512,1615.017413086756,-20338.5,1124.9087962807296
271,2701,-32153.322,1609.3298015463463,-20355.422,1124.3021601129474
272,2711,-32169.691,1596.639385873642,-20383.125,1121.5630283092257
273,2721,-32177.287,1594.0340764831346,-20390.252,1120.8882248209416
274,2731,-32180.812,1589.9569750539033,-20405.855,1119.9875298913996
275,2741,-32186.627,1588.536676213351,-20422.176,1122.867720906965
276,2751,-32200.639,1579.8887244426553,-20432.834,1119.8064481062083
277,2761,-32212.941,1578.6376917237726,-20445.203,1120.2688533855787
278,2771,-32224.215,1571.1713914642667,-20463.477,1116.345451388951
279,2781,-32249.7,1559.2537354585493,-20475.113,1108.6999600677545
280,2791,-32257.674,1555.8629311983227,-20488.924,1105.9180785502342
281,2801,-32265.795,1549.1959419930063,-20498.77,1100.606118992984
282,2811,-32271.914,1552.9898859002776,-20515.2,1102.5219561758583
283,2821,-32278.264,1542.8584693782636,-20529.482,1098.1948545717382
284,2831,-32294.748,1543.1818719274022,-20537.328,1099.7343973301188
285,2841,-32304.797,1532.8531509201523,-20544.96,1094.6111332352507
286,2851,-32306.078,1526.8502112075037,-20562.55,1095.1836631001029
287,2861,-32304.064,1521.771036680669,-20575.936,1091.636011518785
288,2871,-32318.426,1518.7942720408714,-20587.611,1089.7630184095995
289,2881,-32317.467,1511.0992078039883,-20599.574,1088.440271187428
290,2891,-32332.99,1507.306690395342,-20613.973,1088.9085087828826
291,2901,-32351.057,1504.8394901533654,-20621.7,1090.808769752169
292,2911,-32357.852,1500.1804798219978,-20630.734,1089.03931065166
293,2921,-32366.992,1493.278673098307,-20642.598,1085.4080142085922
294,2931,-32371.871,1490.5433321193186,-20652.2,1084.455502259894
295,2941,-32375.988,1490.1184996860618,-20658.004,1085.9466194067916
296,2951,-32384.578,1485.3319371085245,-20676.998,1085.0180022577324
297,2961,-32387.312,1482.8746522544652,-20694.885,1084.673813320852
298,2971,-32390.75,1478.5473311925596,-20705.848,1083.5829623229404
299,2981,-32404.73,1476.7879386385032,-20705.867,1084.8776391853592
300,2991,-32412.23,1473.3718740012107,-20709.254,1085.2304553853992
